English,Hindi,Gondi
The rotation of the Earth also has an effect on the flow of climate.,पृथ्वी के घूर्णन का प्रभाव जलवायु के प्रवाह पर भी होता है,दरती ता गश्त ता असर मौसम ता मुने बड़ेसहना ता आनता।
To increase the interest of Maths.,Maths के interest बढ़ाने के लिए।,गणित ता Interest बर्सहना बाटा।
Jagdish Ji decided to address this crisis through tree plantation,जगदीश जी ने वृक्षारोपण के माध्यम से इस संकट का समाधान करने का निर्णय लिया,जगदीश जी इद ऐर्र दा अड़चन तुन माईहला पोदेलांग उर्रसना ता बाटा जिद्द कीतुर।
I was going to watch a movie with you.,मैं तुम्हारे साथ फिल्म देखने जा रहा था।,नन्ना मिया संग पिलिम हूड़ला हंजोर मतोना
"Modi ji - Sukhdevi ji, how old are you?",मोदी जी- सुखदेवी जी आपकी उम्र कितनी है?,"मोदी जी - निया उमेर बचों मंता सुखदेवी जी,"
This man had brought sugarcane.,यह आदमी गन्ने लाया था।,वेर मानेय कुसियार तच मतोर।
The tradition of deifying the sun in India reflects scientific thinking.,भारत में सूर्य को देवता मानने की परंपरा वैज्ञानिक सोच को दर्शाती है।,भारत ते पोड़द तुन पेन माने मायना त  रीति वैज्ञानिक बिचार तुन बेहायता।
You will be a teamwork improver.,तुम टीम वर्क में सुधार करने वाले होगे।,निम्मा टीम बूतो तुन सुदरेह केवल आयकी।
"Friends, in a war situation, we do what we say.","साथियो, युद्ध की परिस्थिति में, हम जो बात कहते हैं,  करते हैं,",गोतियालोरिटिलोर लड़ाई लेहका आले ते माट जो पल्लो वड़काय तोर अन किययतोराट
Will I be talking on the phone?,क्या मैं फोन पर बात कर रहा होऊँगा?,बाता नना फोन ते बड़्कसोर मंदाकन आयर ?
I won't teach much in my life.,मैं अपने जीवन में बहुत कुछ नहीं सिखाऊँगा।,नन्ना आपुना जिंल्गी ते कुबैय बताय करहोन आयका
Indian family values promote solidarity in crisis,भारतीय पारिवारिक मूल्य संकट में एकजुटता को बढ़ाते हैं,भारतीय पारिवारिक पैसंग हिलवेक उन्द गुट आस मुन्ने बरसाहन्तोर
"Leave half and run to the full, half will not get full.","आधी छोड़ पूरी को भागे, आधी मिले न पूरी पावे।",आदोह विड़च सपय काजे वितितुर आदोह पुट्टो न सपय
We will always be supporting each other.,हम हमेशा एक दूसरे का समर्थन कर रहे होंगे।,माट जरमें बर्रोन इबूना संग हीसोर मन्दोग होही।
Kadak tea also shares its affinity with villages in India.,भारत के गाँवों में कड़क चाय भी अपनापन बाँटती है।,भारत तंग नाहक ने लद्व-लद्वा चहा गला आपुना मया तुन तुसयता।
"India's rail lines connect villages, towns, and mountains.","भारत की रेल लाइनें गाँव, शहर और पर्वतों को जोड़ती हैं।",भारत तंग रेल लाइनींग नाहक शहर अन मेट्टा कुन जोड़े कियायतंग।
"The respect that India has earned on the world stage,","विश्व-मंच पर भारत ने जो सम्मान अर्जित किया है,","बुम -झलसा ते भारत बुद्द मान-दान अविहता,"
Survey work in the coal district from the Sela area in the past has resulted in an estimate of additional coal reserves of 1 lakh tonnes.,कोयला-जिला में सैला क्षेत्र के पूर्व से ही सर्वेक्षण कार्य फलस्वरूप 511.15 लाख टन कोयले के अतिरिक्त मंडार का अनुमान है।,हिरकिंग जिला ते सैला वोलान त उड़ती ते सरबे बूतो तापर्रके 511.15 लाख टन हिरकिंग न अतिरिक्त भंडार मन्ता
I was starting a very new day in my life.,मैं अपने जीवन में बहुत नए दिन शुरू कर रहा था।,नना आपुना जिलंगी ते कुबैय पूना दिय्यांमूड कीसोर
And we don't want to lose that.,और इसलिए हमें ये गंवाना नहीं है।,अन अदेनक माकुन इद माय हाना आयो।
I'll be waiting for you all day.,मैं दिनभर से तुम्हारा इंतजार कर रहा होऊँगा।,नना मुलनह निया हर्र हूड़सोर मंदका।
"Friends, India is also sharing its success in the space sector with its neighbouring countries.","साथियों, अंतरिक्ष क्षेत्र में भारत अपनी सफलता को अपने पड़ोसी देशों के साथ भी साझा कर रहा है।",गोतियालोरिट जोजोन ता हर्र दे भारत आपनुंग पंडलेंग - तोहलेनुंग आपुना ओदातंग देशकना संग गला वेहयता
Without breath that lives forever - tell me what is it?,बिना सांस लिए जो हमेशा जीवित रहता है — बताओ क्या है?,निनास लेवा पुरकत जीवोत मंता वेहट बाता आंद
Yesterday I was starting a new life.,कल मैं एक नया जीवन शुरू कर रहा था।,निन्ने नन्ना उंद पूना जिलेगी मूड़ कीसोर मतोना।
Many nurseries work to provide better seeds to farmers.,किसानों को बेहतर बीज उपलब्ध कराने के लिए कई पौधशालाएँ काम करती हैं,किसान लोर कून बेसता वीजा उपलब्ध कीयाना त बाटा कूबैय पौध  शालांग काम कीयान्तांग
Children with special needs are taken care of in the education of children.,बच्चों की शिक्षा में विशेष आवश्यकता वाले बच्चों का ध्यान रखा जाता है,पीलाना शिक्षा ते विशेष आवश्यकता वाले पीलाना दीयान इराना आयता।
Cultural traditions survive through folklore.,लोककथाओं के माध्यम से सांस्कृतिक परंपराएँ जीवित रहती हैं।,लोक कथा ना ओड़ ते लेंग दस्‍तुर जीवोत मनतंग।
"In India, the Rath Yatra is considered a symbol of the journey of life.",भारत में रथ यात्रा जीवन की यात्रा का प्रतीक मानी जाती है।,भारत ते रथ यात्रा जिल्‍गी ता यात्रा ता प्रतीक माने मायना आयता।
"Our sense of worship should be that we understand the importance of skill, and skilled people, no matter what job they do, should be respected.","हमारी पूजा का भाव यही होना चाहिए कि हम skill के महत्व को समझेंगे, और skilled लोगों को, चाहे वो कोई भी काम करता हो,",मावा सेवा अर्जीता बीचार इद्रदे आयी की मांट पुंदले-मंदले पहजे समझें माईट अन पुंदलेर मानेय कुन बोरेगला कयोटड बूतो कीयातोर होही।
The surrendered Vatsal God protects His devotees.,शरणागत वत्सल भगवान अपने भक्तों की रक्षा करते हैं।,कोरा ते वालेर मानेय पोर्रो मया कियना बगवान आपुन तुन माने मायवालोर कुन राका कियय तंग।
"Queen Victoria's wedding cake sells for £1,500 in UK","ब्रिटेन में महारानी विक्टोरिया की शादी के केक का टुकड़ा 1,500 पौंड में बिका","ब्रिटेन ते महारानी विक्टोरिया नंग मरमिंग न केक ता कुटका 1,500 पौंड ते ममतुर।"
They must be going to the vegetable market.,वे सब्ज़ी बाजार जा रहे होंगे।,ओर कुसीर हाटुम हंजोर मतोर होही ?
of any kind of violence.,किसी भी प्रकार की हिंसा से,बद्दमे गला प्रकार ता हिंसा ते
Awareness against social evils increased,सामाजिक बुराइयों के खिलाफ जागरूकता बढ़ी,बूमकाल गलतीता किलाप समझदारी बढ़हेमात।
Injustice was growing in the air.,हवा में अन्याय बढ़ रहा था।,वड़ियदा पंद नीवाय बर्स्सोर मंद।
"Both are hundreds of kilometers away from each other,","दोनों ही, एक-दूसरे से सैकड़ों किलोमीटर दूर हैं,","रन्डो, वर्रो -वर्रोनह सैकड़ो किलोमीटर लेक मन्तोर"
I will make a lot of things in my life.,मैं अपने जीवन में बहुत कुछ बनाऊँगा।,नन्ना आपूना जिंल्गी ते कूबे वेला पण्डका
She worships Shiva and then eats fruits at night.,व शिवजी की पूजा करने के बाद रात्रि में फलाहार करती है,अत स्पूरल द अर्जी किस मंजल हीकट ते पूलपूल तिन्तांक।
Indian missions in various countries will hold yoga programmes at sunrise local time.,विभिन्न देशों में भारतीय मिशन वहां के स्थानीय समय के अनुसार सूर्योदय के समय योग कार्यक्रम आयोजित करेंगे।,वर्रह-वर्रह देशक ते भारता ता उद्देश्य अगा डा इगाडा बेरा लेहका पोड़द पसियाना ता पहर योगा जलसंग तियार कियाकट
She has donated all her earnings for the education of her daughters.,उन्होंने अपनी सारी कमाई अपनी बेटियों की शिक्षा के लिए दान कर दी है।,अपुनंग सपय कमय मियहकुना पढ़य ता बाटा दान कीतुर
Experience is important in the game of chess.,शतरंज के खेल में अनुभव महत्वपूर्ण है,शतरंज केल ते अनताज कियना वेल्लय कास आँद
"Delhi's Kumbh Mela is a religious and cultural festival, which attracts people from all over the country and abroad.","दिल्ली का कुंभ मेला एक धार्मिक और सांस्कृतिक पर्व है, जिसमें देश-विदेश से लोग शामिल होते हैं।",दिल्‍ली ता कुंभ मण्‍डेय उन्‍द निरकुल अन बाना तंग एन्‍दनंग कर्रसनंग ना तिहार आंदअगा देस-बिदेस तोर मानेय सामिल आयतोर।
Gold art combines traditional and modernity,स्वर्ण कला में पारंपरिक और आधुनिकता का मेल होता है,स्वर्ण कला ते रीति-नीति अन्न नेटेदिया ता मिच्चेर मनता
The lion will keep an eye on its prey.,शेर अपने शिकार पर नज़र रखेगा।,बुर्रकाल आफना सिकार ते कोण्डा इर्रर
"In the culture of India, both the hut and the palace have dignity.",भारत की संस्कृति में झोंपड़ी और महल दोनों में गरिमा है।,भारत ता बानी ते कार्र बिती लोन अन बरहा लोन रंडोसक ना मान गुन आंद।
"The baiga plays an important role in the mud-slinging, he fills the soil of the field in a kalash and keeps it in the middle of the mud-sling.","मडवा गाड़ने में बैगा की महत्वपूर्ण भूमिका होती है, वह खेत की मिट्टी को एक कलश में भर कर मडवा के मध्य में रखता है",मण्डा उर्रसकना ते पूजर ना खास डेरा आयता ओर नेदा तोड़ियदुन उन्द टांड ते निध्य मंजल मण्डा त नडुम इर्रमतोर
"India's Nari Shakti has today dominated science, sports, politics.","भारत की नारी शक्ति ने आज विज्ञान, खेल, राजनीति में परचम लहराया है।","भारत तंग मुयताह लाव नेड विज्ञान, खेल, राजनीति ते पेरचम हिले आता।"
The car drove away.,गाड़ी तेजनहीं चली।,गाडा जोर ने चले मायो।
Let us all salute the bravehearts of Kargil,आइये हम सब कारगिल के वीरों को सलाम करें,कारगिल तोर पड़योरकुन माटसपय जोहार केविट
The child buys balloons.,बच्चा गुब्बारे खरीदता है।,ओर अपुना पढ़य ते मेहनत कीयायतोर
Morris takes South Africa to victory on the last ball,मॉरिस ने अंतिम गेंद पर दिलाई दक्षिण अफ्रीका को जीत,मारिस ने आंकरी बाल दे हितुर दक्षिण अफ्रीका तुन जीक
"The main work of the community is rope making and other fibre related work as well as basket, broom, soup, etc.","समुदाय  का मुख्य कार्य रस्सी बनाने व रेशा संबंधी अन्य कार्य के साथ टोकरी, झाडू, सूपा आदि बनाने का कार्य भी करते है","कुटुम ता परमुख बूतो डोर पंडाना, अन रेशा सम्बन्धतंग दुसोर बूतो ना संग बूटी कैसुर हेती इच्चोय पंडाना ता बूतो गला किय्यतोर"
"But at the same time, our sensitivity and the feeling of holding each other's hands is equally important.","लेकिन इसके साथ ही, हमारी संवेदनशीलता और एक दूसरे का हाथ थामने की भावना, उतनी ही अहम होती है।","मति इदेनय संग मावा सोचे समझे मायना त लाव अन वर्रोह-वर्रोह न कय दुन पथना तबावना, अचोय अहम आयता ।"
Dad will go for a walk in the evening.,पापा शाम को टहलने जाएँगे।,बाबल मुलन होक वलियलह दायनुर
He used to exercise every day.,वह रोजाना व्यायाम कर रही थी।,अद रोजाय व्यायाम कींद/कीसोर मत्ता।
Every colour has its own festival in the culture of India.,भारत की संस्कृति में हर रंग का अपना त्योहार है।,भारत ता बानी ते सपोय रंग ता अपुना तिहार आन्‍द।
The system that has prevailed in the last seventy years,पिछले सत्तर साल में जो व्यवस्था चली,सत्तर वरसंग मुन्ने ते जो व्यवस्था चले मात
Many musicians incorporate their personal experiences into their songs.,कई संगीतकार अपने व्यक्तिगत अनुभवों को अपने गीतों में शामिल करते हैं,कयोजन रूजुम केवालोर आपुना कमोड़ तहानुंग आपुनंग पाटाने मीलह किययतोर ।
Life was a journey.,जीवन एक यात्रा थी।,जिल्गी उन्द दायना-वायना मन्द।
Indians settled in other countries have achieved success in various fields.,दूसरे देशों में बसे भारतीयों ने विभिन्न क्षेत्रों में कामयाबी हासिल की है।,दुसरे देसक ने मनवालोर भारत तोर कुबैय पल्ला ने सफलता कलियतोरे।
"We have to set an example for boys, they will definitely change: Amitabh Bachchan","हमें लड़कों के सामने उदाहरण पेश करना होगा, वे जरूर बदलेंगे :अमिताभ बच्चन",माकुन पेकोरा मुनके उदाहरण पेस किया लागर वेर जरूर बदले मायनुर: अमिताभ बच्चन
Children play on a swing.,बच्चे झूले पर खेल रहे हैं।,पीलंग जोली ने कर्रसयतंग।
The artist expressed emotions through colours.,कलाकार ने रंगों से भावनाओं को व्यक्त किया।,बिनकर रंगिंग तह बिचारिंग नुंग इन्‍दाना कीतु।
Tanu's father Rajbir Singh is a school bus driver in Rohtak.,तनु के पिता राजबीर सिंह रोहतक में स्कूल बस ड्राइवर हैं।,तनु ना बाबाहरल राजबीर सिंह रोहतक ते उन्द इस्कूल तोर ड्राईवर आंदुर।
who protect our borders.,जो हमारी सीमाओं की रक्षा करते हैं,जो मावंग हंदीना रेक-डेक कियायतोर
Dust will be accumulating in the air.,हवा में धूल जम रही होगी।,वड़ दे दुड़को जम्मे मासोर मंदर होही।
The artists danced on the stage.,कलाकार मंच पर नृत्य करते थे।,बिनकर मंच ते एद्ना कीन्दूर।
"As tourism grows,","जैसे-जैसे पर्यटन बढ़ता है,","इदमें-इदमें पर्यटन बेड़सानता,"
The leader is giving a speech.,नेता भाषण दे रहा है।,नेतल भाषण किययतोर
"Every time, the novelty of new examples, every time the expansion of new successes of the countrymen","हर बार, नए उदाहरणों की नवीनता, हर बार देशवासियों की नई सफलताओं का विस्तार",इद बेरा पुनांग नमुनांग ना पुनांग-पुनंाग सबोय पहर देश तोरा पुना टप्पिता वायना आत।
Education leads to success in life.,शिक्षा से जीवन में सफलता मिलती है।,शिकचा तह जिंल्‍गी ते जीकन्‍ना पुटयता।
They were identified by their tools and art,उनकी पहचान उनके औजारों और कला से होती थी,ओर कुन सीनेमायना ओरंग होड़लेंग बीडारिनह अन बिनकर बूतो नह आयता।
"Today, they have over 800 colonies, and sell tons of honey","आज उनके पास 800 से ज्यादा कॉलोनियां हैं, और वो कई टन शहद बेचते हैं",नेण्ड ओरागा 800 तह जादा लोहक मंतंग अन ओर बचोके टड़ पूकिंग ममयतोर
You used to go for a run every day.,तुम रोज दौड़ने जाते थे।,निम्मट रोज्जय वित्ला हन्दोम।
Events and situations in society often inspire us to think from a new perspective.,समाज में हो रही घटनाएँ और परिस्थितियाँ अक्सर हमें नए दृष्टिकोण से सोचने की प्रेरणा देती हैं।,बुमकाल ते आयलेंग गटनंग अन हालातिंग बेरी-बेरी माकुन पुना लेहका हुड़ना तह सोचे कियना ता कर्रियना।
We respect everyone.,हम सभी का सम्मान कर रहे होंगे।,माक सप्योयलोरा मान कीसोर मंदाकोम होही।
You will always be ready to help.,आप हमेशा मदद के लिए तैयार रह रहे होंगे।,निम्मा जरमे मदेद ता काजे तियार आसोर मतोन होही।
This is their life mantra.,इनका तो जीवन मंत्र यही है कि,एना गला जीवन मंत्र इद्दे आंद अन
We all know that patents increase the intellectual property of the country.,"हम सब जानते हैं कि पेटेंट से देश की Intellectual Property तो बढ़ती ही है,",माक सब्बोय पुन्तोरट की पेटेंट तह देश ता Intellectual Property बेरससोर दायता।
Does everyone have a cow?,क्या सबके पास गाय भैस है?,बाले कोन्ढेड़ग भरे गोटक मिन्दे?
Kathak dance presents stories through dance.,कत्थक नृत्य में कथाओं को नृत्य के माध्यम से प्रस्तुत किया जाता है,कत्थक नृत्य मे कथा नांग नृत्य (एन्दाना ) माध्यम ते मडुम पसीयस एन्दांयतोर।
"Everyone is thinking that quarantine means going to jail, it is not so","सब यही सोच रहे हैं कि क्वारंटीन का मतलब जेल जाना है, ऐसा नहीं है",सपय कोरोन टाइन मतलब उन्द जेलदे दायना लेहका मानेय गोक कियायतोर अद इदम आयो
Library is a medium of sharing knowledge.,पुस्तकालय ज्ञान बांटने का माध्यम है।,कागेत डेरा  अक्‍केल तूसयन्‍ना ता जरिया आंद।
"When I last spoke to you in'Mann Ki Baat ', passenger trains were closed.","जब मैंने पिछली बार आपसे 'मन की बात' की थी, तब यात्री ट्रेनें बंद थीं।","अस्के नन्ना पर्रेटा बेरा मियातह ‘गोक ता पोल्लो‘ कीस मतोना, अचोन चंेेमदहमत ट्रेन्क बंन्द आस मता"
Mahua is collected and stored by drying it in the sun.,महुआ का संकलन कर धूप में सुखाकर संग्रहण करते है।,इरूह कुन गूडिहच एद्दिते ओड़स मंजल उंद जागा ईरयतोर।
"in which the speciality, ability and talent of every daughter and son is identified,","जिसमें हर बेटी-बेटे की विशेषता, क्षमता और प्रतिभा की पहचान हो,","अपे बोद्दे गला मियह-मर्र्कना सीना तुन, अवेहना पर्रले तुन अन अवेहना अकल गोक सीने मानह आयी"
The copy is the student's identification.,कॉपी विद्यार्थी की पहचान होती है।,कापी पडृहे केवालोरा सीना आयता।
Every problem can be solved by devotion to God.,भगवान की भक्ति से हर समस्या का हल संभव है।,बगवान ता बिसवास तह सपय अड़चेन ता हर्र पसियला पर्रता।
"Wherever you look, you will realise that India's fight is people-driven","आप जहां भी देखेंगे, आपको एहसास होगा कि भारत की लड़ाई जनता द्वारा संचालित है",निम्मा बगय गला नजेर लगास्कीम्ट निकुन पुत्ताप लेहका आयर कि भारत ता लड़ेय मानेय तुन चलेह कीयाना आन्द
Life in the air was reduced.,हवा में जीवन कम हो गया।,वड़ ते जिल्गी कम आयला आता।
The sun will be shining.,सूरज चमक रहा होगा।,पोड़्द दिरमिडिं़ग हिसोर मंदार होही।
He made significant contributions to Indian politics.,उन्होंने भारतीय राजनीति में महत्वपूर्ण योगदान दिया,ओरा भारत ता राजनीति ते कुबेय कास मता अन संग हियाना आत।
I don't cover everyone in size - tell me who I am?,"मैं आकार में नहीं, पर सबको ढँक लेता हूँ — बताओ मैं कौन हूँ?",नन्‍ना मुरहेन आयोन मति सपोय तुन मुचतोना वेहर नन्‍ना बाता आंदन
The morning of the forest echoes with the song of the birds.,जंगल की सुबह पक्षियों के गीत से गूँजती है।,कोट्टुम ते लिलवल वर्रे लेवय वितयता।
Grandma must be telling the story.,दादी कहानी सुना रही होंगी।,आजी पीटोंग केंजसोर मंदर होही।
"US Vice President Mike Pence calls Pakistani PM for hostages'release, says'thank you'","अमेरिका के उपराष्ट्रपति माइक पेन्स ने बंधकों की रिहाई के लिए पाकिस्तानी प्रधानमंत्री को कहा, थैंक्स..",अमेरिकी ता उपराष्ट्रपति माइक पेस दोहलेर कुन तसना ता पाकिस्तानी प्रधानमंत्री न इत सेवामान
You will be moving towards your dreams.,तुम अपने सपनों की ओर बढ़ने वाले होगे।,निम्मा अपुनंग सपना निके हनवल आयकी ।
Mango is called the king of fruits.,आम को फलों का राजा कहा जाता है,मरका तुन कायंग न राजल इंदाना आयता।
The boat moves in small streams.,नाव छोटी-छोटी धाराओं में चलती है।,डोंगा हुडिलंग-हुडिलंग दारिने दायता।
"For agricultural purposes like copra and carts for carrying paddy, etc., buffalo is more suitable.",कृषि कार्यो जैसे कोपर एवं धान ढोने हेतु गाडी आदि के लिए भैस ज्यादा उपयुक्त होता है,कमाय बूतो लेहका कोप्पीड़ अन वेंजिंग ओयना बाटा गाड़ी इचोव्क एड़मिंग जादा बेस आन्तंग।
The trees will sleep.,पेड़-पौधे सोएंगे।,मराक-पोदेलंग हुंजानुंग।
Write down 10 ways to conserve water.,पानी को बचाने के कोई 10 उपाय लिखों।,एर्र तुन पिसह्ना बजे 10 उपेय कोट्ट।
This has given a lot of opportunities to the startups working in this field.,"इससे इस क्षेत्र में काम करने वाले Startups को बहुत सारे अवसर मिले हैं,",इदेनह इद हर्रदे बूतो केवालोर कम्पनी नोर मोकंग पुट्टतंग।
Farmers find it difficult to grow crops during droughts,सूखे के दौरान किसानों को फसल उगाने में कठिनाई होती है,वतले बेरा किरननक अनम तुन वितानते अड़चेनी नुंग पुनह कियायतोर
"Women, men and children used clay in the past to wash their hair.",बाल धोने के लिये स्त्रियां एवं पुरूष व बच्चे पूर्व में चिकनी मिट्टी का उपयोग करते थे,कल्क नोरला मुयतह अन कोयतोर पीलांग मूने पीवरी तोड़िय छुन उपयोग कीन्दूर
Generations in India light lamps of rites.,भारत में पीढ़ियाँ संस्कारों के दीप जलाती हैं।,भारत ते पीढ़ीग संस्‍कार तंग दियनुंग पोतहमतंग।
"Modi ji: Let's say Sunita ji, many congratulations to you from my side.",मोदी जी : चलिए सुनीता जी मेरी तरफ से आपको बहुत-बहुत बधाई।,मोदी जीः दय सुनीता नावा तिकेडह नीकुन बहुत बहुत आसीद।
perfected the ideal of freedom.,स्वतंत्रता के आदर्श को पूर्णता प्रदान की।,स्वतंत्रता ता आदर पूरा-पूरा पुटान्ता।
This initiative has particularly appealed to the youth of our country.,इस पहल ने विशेष रूप से हमारे देश के युवाओं को आकर्षित किया है।,इद मूड़ मावा देश तोर लेयह-लेयोरकुन खास रूप ते अपुनप वड़का पिड़िगता
There was an imbalance in the air.,हवा में असंतुलन बढ़ रहा था।,वड़ियदे डिवडव आयना बर्स्सोर मंद।
They are swinging.,वे झूला झूल रहे हैं।,ओर जुलांम उगांय तोर।
The National Talent Search Examination encourages students.,राष्ट्रीय प्रतिभा खोज परीक्षा छात्रों को प्रोत्साहित करती है।,राष्ट्रीय प्रतिभा खोज परचो  (परीक्षा) पड़हे केवालोर कुन कर्रियनह लाव हियायता।
"Indian dance forms such as Bharatanatyam, Kathak and Odissi are famous.","भारतीय नृत्य शैलियाँ जैसे भरतनाट्यम, kathak और ओडिसी प्रसिद्ध हैं",भारत त एंदना तरीकांग इदम लेहका कि भरतनाट्यम कथक अन ओडिसी नामजागी आंदुंग ।
He was mostly dedicated to his work.,वह अधिकतर अपने काम के प्रति समर्पित थे।,ओर वल्ला कीस आपुनंग बूतोना काजे होपे मास मंदुर।
Dilwale Dulhania Le Jayenge is a timeless love story.,दिलवाले दुल्हनिया ले जाएंगे एक कालजयी प्रेम कहानी है,‘‘दिलवाले दुल्हनिया ले जायेंगे‘‘ उन्द कालजयी प्रेम कहानी मन्ता।
The students were doing homework.,छात्र होमवर्क कर रहे थे।,पढ़हे केवालोर होमवर्क कीसोर मन्दुर।
Sorghum is sown and the seeds of millet are sent to'Kopar '.,ज्वार बाजरा के बीज को बोआई कर ‘‘कोपर’’ चला दिया जाता है,ज्वार जोहड़ेंग न विज्जा तुन वीत्स कुलिंग कोप्पीड़ हीसियान्तोर।
"Payals were made of silver, dalda, gold, etc.","पायल चांदी, डालडा, सोने इत्यादि के बनाए जाते थे।","पैरपट्टी साँदी, डालडा, सोन इच्चो ता पंडन्दुंर"
What is the name of his servant?,उसके नौकर का क्या नाम है?,ओनग काम कियानोना बाता पेदेर?
"Unnao: Car carrying STF officials meets with accident, driver killed, 5 injured","उन्नाव: सड़क हादसे का शिकार हुई STF अधिकारियों की कार, ड्राईवर की मौत, 5 घायल","उन्नवः सड़ेक ते बेरहाय गटना ता पारेद आत STF अधिकारी ला कारमोटोर, ड्राईवर न आत हायना, 5 नोमूर"
"Today, India's start-up ecosystem is not limited to big cities, but it is also growing.","आज भारत का स्टार्ट-अप इकोसिस्टम सिर्फ बड़े शहरों तक ही सीमित नहीं है,",नेड भारत ता मुड कियना जीवा पोर्रो जीवा पिसहना सिरतोम बेहरंग शहरी नह ही हिल्ले।
A solar flare will emanate from the sun.,एक सौर ज्वाला सूर्य से निकलेगी।,उन्द पोड़द किस पोड़द तह पसियर।
The social development of all of us may be stunted because of the Karak divide.,कराक के भेद के कारण हम सभी का सामाजिक विकास रुक सकता है।,कारेन ता परेक ता मारे मावा सपोय ता बुमकाल पंडीयना बूतो रोमला पर्रयता।
The actor will be shooting for the film.,अभिनेता फिल्म की शूटिंग कर रहा होगा।,जेल कार पिलिंग तासुटिंग कीससोर मंदानुर होही।
"In the forest, monkeys feed on fruits.",जंगल में बंदर फलों से पेट भरते हैं।,कोटुम्‍म ते मुस्‍क पलिनाह पोट्टा निहायतंग।
The life of the forest depends entirely on nature.,जंगल का जीवन पूरी तरह प्रकृति पर निर्भर करता है।,कोटुम्‍म ता जिल्‍ंगी लेहका पुर्रूड़ त आसरा किय्यता।
New courses are being added to Sunday schools,रविवारीय विद्यालयों में नए पाठ्यक्रम जोड़े जा रहे हैं,एतवार दिया लगे मायना इस्कुह ने पुना पाठयक्रम तुन मिलेह कियाना आयता।
Doctors give medicines to patients.,डॉक्टर मरीजों को दवा देते हैं।,यायल लोतुन साफ कीयायता।
People are struggling to find drinking water.,लोगों को पीने के पानी के लिए संघर्ष करना पड़ता है।,उन्डला एर्र त बाटा लड़ेय कियाना पड़ायता।
People will be relaxing.,लोग आराम कर रहे होंगे।,मानेय रोमयन्ना  कीसोर मंदानुर  होही।
We were going to the market.,हम बाजार जा रहे थे।,माट हाटुम हन्जोर मंदोम।
Every particle of the Indian psyche is a gift of culture.,भारत जनमन का प्रत्येक कण संस्कृति की सौगंध है,भारत मानेय ता राय तुन सपोय उुरोम बानी ता किरीया आंद ।
His works bring out the realities of life,उनकी रचनाएँ जीवन की वास्तविकताओं को उजागर करती हैं,ओना रचनाग जिल्ंगी ता सत्याता तुन तोहयता।
"On Friday, there was a special program in the school.",शुक्रवार को स्कूल में विशेष कार्यक्रम हुआ।,सुकुरवार दिया स्‍कूल दे अलगे बूतो आत।
"In India, every note becomes the sound of life.",भारत में हर स्वर जीवन की ध्वनि बन जाता है।,भारत ते सपय स्वर जिंल्गी ता लेंग बने मायता।
Some people even dedicate their entire life's earnings to the environment and animals.,कुछ लोग तो अपने जीवन की पूरी कमाई पर्यावरण और जीव-जंतुओं के लिए समर्पित कर देते हैं,उचु जन तो आपुना जिन्दगी त पूरा कमाय तुन पर्यावरण अन जीव-जन्तु न बाटा समर्पित किस हियानतोर
Literature can spark a change in society.,साहित्य समाज में बदलाव की चिंगारी जगा सकता है।,कतांग कुटुम्‍ब ते बदले मायना त चिंगारी तेदला पर्रता।
You had an operation.,आपका कोई ऑपरेशन हुआ था,निया बाताया आपरेसन आता
The river was worshipped as a deity by the Manuas.,मनुय नदी को देवी-देवताओं के रूप में पूजते आए थे।,मानेय डोडा तुन पेन पुरखा ता रंग ते सेवा कीन्दूर
His leadership is an inspirational story for all sections of society.,उनका नेतृत्व समाज के सभी वर्गों के लिए प्रेरणादाय कथा,ओना मुक आस बूतो कियना बुमकाल तोर सपय बानी नोरा बाटा अकल कर्रियनह मत्ता।
The woman of India also connects broken hearts with her affection.,भारत की नारी अपने स्नेह से टूटे दिलों को भी जोड़ देती है।,भारत ता मुयतड़ आपुना माया देगलेंग तडकिनुंग गला जोड़ह किययता।
"Without me, knowledge is incomplete - tell me what I am?",मेरे बिना ज्ञान अधूरा है — बताओ मैं क्या हूँ?,नावा लेवा पुदंन्‍ना आदोह आंद वेहट नन्‍ना बाता आंदन ?
It makes nature beautiful.,प्रकृति को मनोरम बनाता है।,पुरूड़ तुन गिर्रदा वानह पंडायता।
A portion is given to him separately.,उसे एक भाग अलग से दिया जाता है,ओन उन्द बांटा अलग हियान्तोर।
A volcano was erupting.,एक ज्वालामुखी फट रहा था।,उन्द ज्वालामुखी पोक्सोर मंद।
The rivers of India are not only water sources but also cultural heritage.,"भारत की नदियाँ केवल जल स्रोत नहीं, सांस्कृतिक धरोहर भी हैं।","भारत तंग डोडांग केवल एर्र त पोगना  आयो, रीति-रिवाज तह विरासत गला आंद।"
The helicopter has large blades.,हेलीकॉप्टर में बड़े-बड़े ब्लेड होते हैं।,हेलीकप्‍टर ता आविसकार २० वी सदी ते आत।
There are several species of vultures in the Indian wildlife.,भारतीय वन्यजीव में गिद्ध की कई प्रजातियाँ हैं,भारत तंग कोटूम जीवाने रवनाल तंग कुबैय प्रजातिगं मंताग
"Friends,","साथियो,",गेतियालोरिट
Who is God in your house?,आपके घर मे कौन-कौन देव है?,मीलोत्तेगू बेव-बेव दय्याक मिन्दे।
We will buy new books.,हम नई किताबें खरीदेंगे।,माट पुना कागेतिंग असकोम
