English,Hindi,Mundari
"I read an inspiring story in the paper this morning, it was great.","आज सुबह अखबार में एक प्रेरणादायक कहानी पढ़ी, बहुत अच्छा लगा।","तिसिङ सेताः अखबार रे मियद् उसकुरन कानि पढाव लअः, पुरअः गे सुकु किःअ।"
"Good governance is the only way. These are the two tracks to take the country forward, good governance and development. We want to move forward with the same intention.","सुशासन एक ही रास्ता है। देश को आगे ले जाने के लिए ये ही दो पटरी हैं जो गुड गवर्नेस एंड डेवलपमेंट, उसी को लेकर के आगे चल सकते हैं और उसी को लेकर चलने का इरादा लेकर के हम चलना चाहते हैं।","शासन रुआड़ मियद् गि होरा तना। दिसुम के अयर इदि मेनते नेया गि बरिआ पटरी तना जे गुड गवर्नेस एंड डेवलपमेंट, एना के गि इदि केयाते अयर सेसेन दाड़ि मेना ओड़ो: एनाके गि इदि केयाते सेसेन रआ इरादा इदि केयाते आबु सेसेन सानाङ तना।"
2) A Mundari First Reader,2) ए मुंडरी फस्ट रीडर,2) ए मुंडरी फस्ट रीडर
I would also like to thank the YouTubers who did many programs on'Mann Ki Baat '.,मैं उन YouTubers को भी धन्यवाद दूंगा जिन्होनें ‘मन की बात’ पर अनेक कार्यक्रम किए।,अइञ एन YouTubers  को के धन्यवाद ओमा कोअञ ओकोन को 'मोन रेअः जगर' रे पुरअः कार्यक्रम को रिका कदा।
"As it cools, the water vapor condenses to form clouds.",ठंडा होने पर जलवाष्प संघनित होकर बादलों का रूप ले लेता है।,राड़ेः जनाते दाः भाप गोटा केयाते लअरि रेआ रूप इदि जदा।
Name the states where the Ganges-Brahmaputra basin is located.,उन राज्यों के नाम बताइये जहाँ गंगा-ब्रह्मपुत्र बेसिन स्थित है।,एन राइज को रेआ नुतुम उदुबेम ओकोताः रे गंगा-ब्रह्मपुत्र बेसिन मेनाः।
Union Minister Shri Shekhawat expressed concern over the slow progress of work coupled with under-utilization of funds and requested the State to implement the scheme expeditiously.,केन्द्रीय मंत्री श्री शेखावत ने कार्य की धीमी प्रगति के साथ कोष के कम उपयोग पर चिंता जाहिर की और राज्य से तेजी से योजना का कार्यान्वयन करने का अनुरोध किया,केन्द्रीय मंत्री श्री शेखावत कामी रेअः मंड़ि प्रगति लोःते कोष रअः हुड़िङ उपयोग रे फिकिर उदुब केदाए ओड़ोः राइज ते सेकड़ा ते जोजना के लागू रिका रअः विनती केदए।
Who would have thought this would happen on the way?,"रास्ते में ऐसा होगा, किसने आगे सोचा था ?",होरारे नेकाओअ मेनते दो ओकोए ओड़ोः टो'र अयरलअः ?
Ask your friends and family to share your posts to gain visibility and build a larger customer base.,अपने दोस्तों और परिवार से अपनी पोस्ट को साझा करने के लिए कहें ताकि प्रत्यक्षता मिल सके और एक बड़ा ग्राहक आधार बन सके।,अमअः सोंगे को ओड़ोः ओड़अः रेनको अमअः पोस्ट के हटिंङ मेनते कजिआको पे जे चि लेलेल नमोःअ ओड़ोः मिअद् मरङ गाकि कोअः आधार बइ दड़िओःअ।
"Last Friday in New Delhi, Home Minister Rajnath Singh attended a crucial review meeting with the Chief Secretaries and Directors General of Police of the Left Wing Extremism affected states and DGs of Central Security Forces.",पिछले शुक्रवार को नई दिल्ली में गृहमंत्री राजनाथ सिंह ने वाम चरमपंथियों से प्रभावित राज्यों के मुख्य सचिवों और डायरेक्टर जनरल ऑफ पुलिस तथा केंद्रीय सुरक्षा बलों के डीजी के साथ महत्वपूर्ण समीक्षा बैठक में भाग लिया।,सेनोः जन सुकरूवार हुलाङ नई दिल्ली रे गृह मंत्री राजनाथ सिंह वामपंथी अतिवादी कोआते प्रभावित राइज रेन मुख्य सचिव को ओड़ोः डायरेक्टर जनरल ऑफ पुलिस ओड़ोः केन्द्रीय सुरक्षा बल रेन डीजीपी लोःते महत्वपूर्ण समीक्षा दुनुब रे हिजुः लेना।
"Even after working hard, he earned very little.",बहुत परिश्रम करने के बाद भी उन्होंने बहुत कम कमाया।,साड.गिते साड.गिकामिकेअद ताएओमतेओ ओको हुड़िगेको कामाइकेदा।
Mangalyaan can reach from here within nine months.,नौ महीने के भीतर-भीतर यहां से मंगलयान पहुंच सकते हैं।,एरेया चन्डुः तला-तला नेताःते मंगलयान तेबाः बु दड़ियाः।
"Having given them hope, he returned the next day and went to Haru, saying, ""I went to the village you were told about; they hope we will go on a certain day.""","उनकी आशा देने पर वह दूसरे दिन लौटा और हड़ु के पास जाकर कह रहा है, - ""तुम को कहे गए गाँव मैं गया था; उन्होंने आशा ही, हम लोग निश्चित दिन जाएँगे।","इनकु बोरसाकेद्चि, गपातेरेए रुअड़लेना अद् हड़ुतअःतिः जनचिइ मेतअइतना, ""अइङ कजिअद्-मे हतुतेङ सेनकेना; इनकु बोरसाकेदा; नेनडा हुलङबु सेनोअ ।"
I would like to share with you two very inspiring efforts related to the glorious heritage of Tamil Nadu.,मैं आपके साथ तमिलनाडु की गौरवशाली विरासत से जुड़े दो बहुत ही प्रेरक प्रयासों को साझा करना चाहता हूँ।,अ´ अपेलो डते तमिलनाडु रआ गौरवशाली विरासत ते जुड़ावकन बरिआ प्रेरक जुलुङ को उदुबे´ सनङ तना।
Some private services often encourage activities that are not appropriate in order to earn more.,"कुछ निजी सेवाएँ अधिक कमाने के लिए प्रायः ऐसे कार्यों को
प्रोत्साहित करती हैं, जो सही नहीं हैं।","उड़िङ अपना देपेङगाको साङगी अरजाओमेनते नेलेका कामिको रसिकातेको रेकारिकाजादकोआ, चिलकातेचि बेसकाःहेके।"
"Fairs and festivals of Haryana are famous throughout the country, while its cuisine is rich in spices.","हरियाणा के मेले और त्योहार पूरे देश में प्रसिद्ध हैं, जबकि के व्यंजन मसालों से भरपूर होते हैं।","हरियाणा रअः मेला ओड़ोः त्योहार गोटा दिसुम रे उमिअकना, मेनदो इनिआ व्यंजन मसला ते पेरेःआ कन ताइना।"
Is this meat brought for us to eat or for the vulture eagles to eat?,इस मांस को हमलोगों के खाने के लिए लाया गया है या गिद्ध चीलों के खाने के लिए ?,ने जिलु अबु जोमे मेनते नेतअःरे अउअकना चि दिदि कुड़िदका जोमेका मेनते?
"The next morning, Nandi got up very early and swept the places that had never been cleaned before.",दूसरे दिन सुबह नन्दि बहुत ही जल्दी उठी और पहले कभी भी नहीं साफ की हुई जगहों तक को झाड़-बुहार कर साफ किया।,गापातेरे सेताः दो नंदि इदाङ रे बिरिद जाना आ'र जेताइमताङ का जोः टोगोः तानताः को राटिः जोः पारचि केदा।
This can help you a lot.,ये आपकी बड़ी मदद कर सकता है |,नेया अपेके इसुःइ देंगा पेया।
"On this day, the elderly people are busy in eating and drinking.",इस दिन बुढ़े बुढ़ियाएं खाने पीने में ही व्यस्त रहते हैं।,ने हुलङ दो हड़म बुड़िया जोम नू रेगे को अदाकन तइना ।
Schemes set up by the Ministry of Tribal Affairs can have a positive impact in the long run.,जनजातीय कार्य मंत्रालय द्वारा स्थापित की गई योजनाएं लंबे समय तक सकारात्मक प्रभाव डाल सकती हैं।,जनजातीय कार्य मंत्रालय सअः ते स्थापित कन योजना को इसु दिन जकेद सकारात्मक प्रभाव ओम दड़ियोगा।
"In summer, residents cultivate barley, potatoes, peas, beans, and turnips.","ग्रीष्म ऋतु में यहाँ के निवासी जौ, आलू, मटर, सेम एवं शलजम की खेती करते हैं।","जेटे रितु रे नेताः तइन तन होड़ो को जो बाबा, आलू, मटर, मनाल ओड़ोः सालगोम रेआ को खेती तना।"
Delete my appointment for tomorrow.,कल मेरा अपॉइंटमेंट मिटा दो।,गपा आञाः गपा आञाः अपॉइंटमेंट मिटव तपे। मिटव तपे।
Why do they write like this?,किसलिए वे ऐसा लिखते हैं ?,चिलकाते एनकाको त्र्प्रोलेत्र्प्र?
My caste is Munda.,मेरी जाति मुण्डा है।,अञः जाति मुण्डा तनः ।
"""Don't disrespect anyone because of age or race, respect everyone.""","""उम्र-जाति के कारणों की वजह से किसी का भी अनादर मत करो, हर किसी का सम्‍मान करो।""","""उमर-जति रे कारण कोरअः ते जांन गे अलोपे हिनसतिअः, सोबेन कोके मिद् बराबरि लेल कोम।"""
was done.,किया गया।,रिका जना।
"That's bad. ""","हू? बुरी बात है.""","हु? एद्कन कजिगे। """
Our society is still patriarchal.,हमारा समाज अभी भी पितृ-प्रधान है।,अबुअः होड़ो गोट नअःओ पितृ-प्रधान तनअः।
"Traditionally, vegetarian dishes, such as pitha and aloo-chutney, are prepared with great fanfare in Odisha.","ओडिशा में पारंपरिक रूप से शाकाहारी व्यंजन, जैसे पिठा और आलू-चटनी, बड़े धूमधाम से बनाए जाते हैं।","उड़िशा रे पारंपरिक रूप ते अड़अः सकम जोमेअः को, चिलका चिनलव ओड़ोः आलू-चटनी, पुरअः धूमधाम तेको बइएअ।"
Peacekeeping operations are not easy tasks.,Peacekeeping operations आसान कार्य नहीं हैं।,Peacekeeping operations रबल कामि का तनअः।
Let's find out how it all works out.,"आइए, पता लगाएँ कि यह किस प्रकार संपन्न होता है।","एलाबु, पता लगओएआ चि नेआ चिल्का होबाओ तना।"
"from our home. ""","हमारे घर से।""","अले ओड़अःएते। """
I think they will be gone soon can you add this to my list.,मुझे लगता है ये जल्दी खत्म हो जाएँगे क्या तुम इसे मेरी सूची में ऐड कर सकते हो।,अइंग ठोर जदा चि नेया को सेकेड़ा गे चबाओःअ चिनअः अम नेया अइंञा सूची रे जोड़व दड़िया
"Hence, both these husbands used to visit the Patni Governor's House.",इसलिए ये दोनों पति पटनी गवर्नर हाउस जाया करते थे।,एनामेनते आकिन कुलगिया गवर्नर हाउस तेकिन सेनोः बाड़ा तान ताइकेना।
"Water, in a way, is more important than Paras.","पानी, एक तरह से पारस से भी ज्यादा महत्वपूर्ण है।",दअः मिद लेका ते पारस ते ओ पुरअः महरङ मेनअः।
Narayan Singh and Baliram are adding'sahiya '.,नारायण सिंह और बलिराम 'सहिया' जोड़ रहे हैं।,नरायनसिङ अद् बलिराम सहिअकिङ जोड़वजदा ।
"""This is unbelievable! I can't believe the sign didn't work!""","""यह अविश्वसनीय है! मैं विश्वास नहीं कर सकता कि चिह्न काम नहीं किया!""","""नेअः का विसुवासतना! अइङ काइङ बिसुआस दड़िअः चि चिना का कमिजना!"""
"Old man - ""Come then, I have an empty house, stay there with you.""","बुढ़ा-‘‘चलो तब, मेरा एक खाली घर है, उसमें तुमदोनों ठहर जाओ।’’","हड़म, ""दोला तोबे; अइञअः मिअद् चुटा ओड़अः मेनअः; एनरे डेराएबेन।”"
We pay homage to the martyrs and also congratulate the Navy for its successes.,हम शहीदों को श्रद्धांजलि देते हैं। साथ-साथ Navy की सफलताओं के लिए उन्हें मुबारकबाद भी देते हैं।,अबु शहीद कन कोके मइन-मनारङ ओमाको तना । एना लोओते Navy रेन कोअः दड़िन को मेनते इनकु के धन्याबाद ओमाको तना।
Our Rig Veda is thousands of years old.,हज़ारों साल पुराना हमारा ऋग्वेद |,हजारो सिरमा पुरना अबुआ ऋग्वेद ।
"Bandua - Don't ask me if you understand or don't understand, it will make you laugh. They will distribute wine, drink it at will.","बन्डुआ-समझ में आया या समझ में नहीं आया, ऐसा मुझसे मत पूछो, ऐसा में हंसी निकलेगा। वे मद्य बांटेंगे, उसे तुम इच्छा भर पी लो।","बनडुअ -मुुनडिकेद च काम मुनडिकेद एनाको अलोम कुलि´अ;एनकातेगे लनदा उड़ुड.ओअ। इलिको तिलेअ, एना सनड. बारि नूअनमे।"
"We are familiar with all the forms of God, from the naughty Kanhaiya to the gigantic Krishna, from the scriptural strength to the weapon-strength Krishna.","हम भगवान के सब स्वरूपों से परिचित हैं, नटखट कन्हैया से ले करके विराट रूप धारण करने वाले कृष्ण तक, शास्त्र सामर्थ्य से ले करके शस्त्र सामर्थ्य वाले कृष्ण तक।","अबु भगवानः सोबेन रुउप कोबु इतुवाना,नटखट कन्हैया ओड़ोः मराअं रुप  बई कृष्ण जकेद शास्त्र इतुवनिःयाते शास्त्र पेड़ेः मेनेः तिनिः कृष्ण जकेद।"
"One day after the friendship, they brought her home to meet their mother.",दोस्ती के बाद एक दिन वे अपनी मां से मिलाने के लिए उसे घर ले आए।,सोंगेजान तायोम ते इनिः मुसिङ ओडाः ते एंगाते बुड़िआ लोः लेपेल मेनतेः आउलिःआ।
More than five crore selfies were also posted on the Har Ghar Tiranga website.,हर घर तिरंगा website पर पाँच करोड़ से ज्यादा Selfie भी पोस्ट की गई।,सोबेन ओड़ाः तिरंगा website रे मोड़े करोड़ ते लआः Selfie ओ post जाना।
(c) Chillan Diri (Excluded Stone) - in the range,(ग) छिलन दिरि (बहिष्कृत पत्थर) - सीमंात में,(ग) छिलन दिरि हतु सिमान टुन्डुरे
"He claimed that Hooda's ministers were ""powerless"" and had no say in the functioning of the government.",उन्होंने दावा किया कि हुड्डा के मंत्री ‘शक्तिहीन’ हैं और सरकार के कामकाज में उनकी कोई सुनवायी नहीं है.,इनकु दावा केदाको चि हुड्डाअः मंत्री 'बेगर पेड़ेः’ तनिः ओड़ोः सरकारअः कजि कमिरे इनिअः जेतन सुनवाई बनोःअ।
"The Himalayas, which stretch along India's northern border, are geologically young and structurally complex mountain ranges.",भारत की उत्तरी सीमा पर विस्तृत हिमालय भूगर्भीय रूप से युवा एवं बनावट के दृष्टिकोण से वलित पर्वत श्रृंखला है।,भारत रेअः बोआः कुन्दुड़ि सीमान रे पसरावकन बुरू चुटि  मुटन ते (युवा) च बइयआकन तेआः दृष्टिकोण ते वलित बुरू (श्रृंखला) तनाः।
"Similarly, while writing the Mundari language, the identity of both Visarga and Halanta is linked in the special.",ऐसे ही मुण्डारी भाषा भी लिखते समय विसर्ग और हलन्त दोनो की पहचान विशेष में ही जुड़ा हुआ है।,एन लेकागे मुण्डा जगरो अेल रे हलन्त ओड़ोः विसर्ग लेकन चिना को टुङ विशेष रेगे जुड़ागो तना।
"Programmes like Digital India, Start-up India and Make in India are transforming the economic landscape of the country.","""डिजिटल इंडिया, स्टार्ट अप इंडिया और मेक इन इंडिया जैसे कार्यक्रम देश के आर्थिक परिदृश्य को बदल रहे हैं।""","""डिजिटल इंडिया, स्टार्टअप इंडिया ओड़ोः मेक इन इंडिया लेकन कार्यक्रम को दिसुम रअः आर्थिक दसा को बदलि जदा।"""
But the rise of coalition politics in India in recent years has somewhat limited the powers of the prime minister.,लेकिन हाल के वर्षों में भारत में गठबंधन की राजनीति के उभार से प्रधानमंत्री के अधिकार कुछ हदतक सीमित हुए हैं।?,मेनदो हाल रअः साल भारत रे गठबंधन रे राजनीतिअः उभारते प्रधानमंत्रीअः हक हुड़िङ कन लेका चबा जना।
"Tools, weapons, jewelry, and utensils were made from copper and bronze.","ताँबे और काँसे से औज़ार, हथियार, गहने और बर्तन बनाए जाते थे।","तांबा ओड़ोःकाँसाते ओजार, हतेयार, हिसिर ओड़ोः तड़ा बइओः तन तइकेना।"
"Where they are used, it is also a good way to protect the environment. We will all make efforts together, only then the environment will also be strong and the country will also move forward.",जहाँ उनका उपयोग होता रहे। यह भी पर्यावरण की रक्षा का एक अच्छा रास्ता है। हम सब मिलकर प्रयास करेंगे तभी पर्यावरण भी मजबूत होगा और देश भी आगे बढ़ेगा।,ओकोरे नेअः को कमि रे हिजुःआ। नेआओ पर्यावरण रेअः होरो-जतान रेअः मिअद बुगिन होरा तनअः। अबु सोबेन मिसाते जुलुङ रेदो पर्यावरणओ केटेः गोःअ ओड़ोः दिसुमओ अयर ते सेनोःगा।
"The Lishai tribe of Manipur presents the traditional sword-waving image to the beats of thap and dholak in the folk dance ""Ghaudiya.""",मणिपुर के लीशई जनजाति के लोग लोकनृत्य “घोऊडिया” में थाप और ढोलक की ताल पर पारंपरिक तलवार लहराते हुए छवि प्रस्तुत करते हैं।,"मणिपुर रेन लीशाई जनजाति होड़ोको लोक सुसुन ""गौड़िया"" रे थाप ओड़ो दुलकी रेआ ताल रे पारंपरिक तलवार ओटाङ तनलोः छोबी को लेल रिका जादा।"
This sort of commodification of the praja ryots with the royal zamindar gave rise to the name zamindari system.,राज जमींदार के साथ प्रजा रैयत का इस प्रकार का माल निर्धरण ही जमींदारी सिस्टम नाम पड़ा।,राजा-जिमिदार कोलोः परजा रइयत कोअः नेलेकन मार तोनोलगे जिमिदारी (जमीनदारी) तोनोल (सिसटम) नुतुमजना।
"Later, the descendants of the same boys of Manu spread all over the country.",पीछे मनु के उन्हीं लड़कों की सन्तान सारे देश में फैल गई।,मनुअः अयः होन को पुग पुर दाशा सोबेनअः एं उदुःबद् कोआ। निकु सोबेन मनुअः होन को(मनवां) कजिओः जना।
It is a sin to rob another of his or her earnings.,"दूसरे के कमाए पुंजी को लुटना,पाप है।","एटा निः कमि-उदम तद पुंजी रे ताउइ का बेसेअ, पाप नमोअ।"
"""Of course I do! And I'm going to give it back to you as soon as they do it from this key-lit spot.""","""निश्चय ही मैं करता हूँ! और मैं इसे तुम्हें वापस देने के लिए जा रहा हूँ जैसे ही वे इस कुंजी चमकी हुई जगह से कर रहे हैं।""","""जरुड़ु गे अइङ रिकाअः! ओड़ोः अइङ नेअः अमके ओम रुड़ा मेनतेङ सेनोः तना चिलका गे इनकु ने चाबी चमकाओ तन तअः तेको रिका जदा।"""
Budu has become thin!,बुदु को पतला पखाना हो गया है !’’,बुदु लाइः दुल नमअकअःइअ!’’
"These rules were followed by an assembly of caste elders, called in some areas'caste panchayats '.",इन नियमों का पालन जाति के बड़े-बुजुर्गों की एक सभा करवाती थी जिसे कुछ इलाकों में 'जाति पंचायत' कहा जाता था।,नेअ अइनअड़ि कोअ: पालन जाति रेन मरङ हड़म होड़ो कोआ: सभा रिका जद तइकेना को ओकोके एनतारा टयद् रे ’जाति पंचाइत’ को मेन जाद तइकेना।
We Indians take great pride in these cultural ties.,इन सांस्कृतिक संबंधों को लेकर हम भारतीय काफ़ी गर्व महसूस करते हैं |,ने ससंकिर संबंध कोअः ते गे अबु भारतीय को पुरअः गे गर्व बु अटकारेया।
"Hungera: Hey, brother, we both are thinking the same way.","हंगेरा- ऐ, भाई, हम दोनों एक ही तरह का सोच रहे हैं।","हंगेरा - ‘ए’ हले, बरनकिङ मिद् रकम उड़ुःगे नमकेद्लङअ।"
"""That's it!""","""यही है!""","नेअगे तनअः!"""
Brothers are agreed by the people.,हड़ु से भाई लोग राजी होते हैं,हड़ुलोः हगाको रजिनतना
The standard language is based on the Cuttack dialect.,मानक भाषा कटक की बोली पर आधारित है।,पातिआन जागार कटक राः जागार रे टेकाओआकाना।
There is a provision for creation of 25 posts in various ranks from the ranks of Assistant Commandant to Additional Director General to augment the supervisory staff in the senior duty posts of CISF.,सीआईएसएफ के वरिष्ठ ड्यूटी पदों में सुपरवाइजरी स्टाफ बढ़ाने के लिए सहायक कमांडेंट से अपर महानिदेशक के रैंकों तक विभिन्न रैंकों में 25 पदों के सृजन का प्रावधान है।,सीआईएसएफाः वरिष्ठ ड्यूटी पद रे सुपरवाइजरी स्टाफ बढाव मेनते सहायक कमांडर-जनरल ते अपर मरड. उनुदुब गोमकेअः पद जकेद बिनगा-बिनगा पद रे 25 (मोड़े) पद सिरजन रअः प्रावधान मेनअः।
"And it fits on a stroller. ""","और यह एक stroller पर फिट है।""",ओड़ोः नेअः मियद् ⁇  रे fit मेनअः।
I congratulate Bilal Dar very much.,मैं बिलाल डार को बहुत बधाई देता हूँ।,अइङ बिलाल दार के पुरअः गे बधाईङ ओमइ तना।
It left a deep impression on my mind.,मेरे मन पर गहरा प्रभाव छोड़ जाती हैं।,आञाः जी रे इकिर असर बागेओःआ।
"In Karam songs, Halka Karam, Bhari Karam and Khemta Ye To Karam are sung along with the songs.","करम गीतों में तो हल्का करम, भारी करम और खेमटा ये तो करम गीतों के साथ ही गायी जाती है।","करम दुरङको दो रबल करम, हंबल करम ओड़ो: खेमटा को दो करम दुरङको लो: तेगे दुरङ जमाओ तना।"
"In Bhogali Bihu in Assam, a meal prepared with rice, water, and fresh meat at home is a symbol of family reunion.",असम के भोगाली बिहू में घर-घर में चावल पानी और ताजा मांस से तैयार भोजन पारिवारिक मेल मिलाप का प्रतीक है।,असम रअः भोगोली बिहू रे ओड़अः-ओड़अः रे चउली दअः ओड़ोः बेरेल जिलु ते सेकेड़ा जोमेआ ओड़अः-दुअर रे मेल-मिलाप रअः चिना तना।
Christian societies are called mission people.,क्रिश्चियन समाज को मिशन लोग कहे जाते हैं।,किरतन समाज मिशन में कजियो तना।
I want to apply for an education loan.,मैं शिक्षा ऋण पर आवेदन करना चाहता हूं।,अइङ पढ़व रिंड़ि रे दरखास सनङ तना।
Keep a sample of your writing in this file.,इस फ़ाइल में अपने लेखन का एक नमूना रखें।,नेआ फाइल रे अपनअः ओनोल रअः नमुना जोगावएपे।
These provide aggregate information about specific industries and trends.,ये विशिष्ट उद्योगों और रुझानों के बारे में समग्र जानकारी प्रदान करते हैं।,निअः बेसतेएअः उद्योग ओड़ोः सेसेनतनअः कोरअः बारेरे मेसाकन इनितुए ओमजादा।
"I am happy to note that our farmers, especially the young ones with small holdings, are enthusiastically adopting natural farming.","मुझे यह जानकर प्रसन्नता हुई है कि हमारे किसान, विशेषकर छोटी जोत वाले युवा किसान प्राकृतिक खेती को उत्साह-पूर्वक अपना रहे हैं।","अइञ नेअः इतु केआते सुकु रसिका जनाइञ चि अबुअः किसान, जे लेका चि हुपुड़िङ दंगड़ा किसान को प्रकृतिक खेतोके रसिका लोःते को अपनव जदा।"
He has highlighted the role of tribal communities in environmental conservation.,उन्होंने पर्यावरण संरक्षण में आदिवासी समुदायों की भूमिका को महत्वपूर्ण बताया है।,इनिः पर्यावरण जोगव-जोतोन रे आदिवासी समाज कोअः भूमिका को मइनन उदुबा कदए।
"""Following the Tercian practice of chord construction by stacking thirds, the simplest first stress above the third and fifth notes present is attached to a triad by stacking, the other third note above the fifth note, giving a new tone, a strongly pitched seventh note distinct from the original note and thus called the"" ""seventh"" ""tone of the chord and producing a four-note chord, called the"" ""seventh chord."" """"","""तीसरे स्वरों के स्टैक द्वारा कॉर्ड निर्माण के टर्शियन चलन का अनुसरण करते हुए, मौजूद मूल स्वर, तीसरे और पांचवे स्वर के ऊपर सबसे सरल प्रथम तनाव को स्टैंकिंग द्वारा एक ट्राइऐड से जोड़ा जाता है, अन्य तीसरे स्वर को पांचवे स्वर के ऊपर, एक नया स्वर देते हुए, मूल स्वर से अलग एक सातवें स्वर का सशक्त रूप से कर्कश सदस्य और इस तरह कॉर्ड का """"सातवां"""" स्वर कहा जाता है और एक फोर-नोट कॉर्ड पैदा करता है, जिसे """"सातवां कॉर्ड"""" कहा जाता है।""","""अपिअ लेका सड़िकोरेअः स्टैकते ससंङ बइ रअः टर्शियन चोलोन ओतोड. तनलोः, मेनअः मूद ससंङ, अपिअ ओड़ोः मोंड़ेंअ ससंङ रेअः चेतन रे सोबेनेते सिदा उतर तनाव को स्टैंकिंगते मिअद ट्राइआड. ते जोटोः तना, एटअः अपिअ ससंङ को मोंड़ेंअ ससंङ रेअः चेतन रे, मिअद नवा ससंङ ओमजद्लोः, मूद ससंङएते बिनगा मिअद ए 'अ ससंङ रअः पेड़ेःअन नोः लेका कर्कश सदस्य ओड़ोः एनलेका ससंङ रअः"" ए' अ 'ससंङ कजिओअ ओड़ोः मिअद उपुन-नोट रअः कोडोः सिरजओअः, एना दो ""ए' अ 'ससंङ क"
Tell the company that their service is poor.,company को बताओ की उनकी सेवा खराब है।,कंपनी के उदुबेम चि इनकुअः सुसर बागाड़ा मेनअः।
"Maharashtra's folk music and dance are very famous, while its cuisine has a traditional flavour.","महाराष्ट्र का लोक संगीत और नृत्य बहुत प्रसिद्ध है, वहीं के पकवानों में पारंपरिक स्वाद मिलता है।","महाराष्ट्र रअः लोक संगीत ओड़ोः सुसुन बेसे उमि गिड़िअः कना, एनतअः रअः जोमेआः को रे पारंपरिक सिबिल नमोःअ।"
"Lepo - It is not about getting married, it is about getting partition here.","लेपो - वह तो शादी की जाने, की ही है, यहीं बँटवारा पाकर रहेगी सो बात नहीं है।",नेरेगे हनटिङ नमके'तेए तइना मेने कजिदो बनोअ ।
"I would like to mention here the doctors, nurses, health workers, administrators associated with health services and sanitation workers who have taken care of the victims by risking their lives.","मैं यहां उन डॉक्टरों, नर्सों, स्वास्थ्य-कर्मियों, स्वास्थ्य सेवाओं से जुड़े प्रशासकों और सफाई-कर्मियों का उल्लेख करना चाहता हूं जिन्होंने अपनी जान जोखिम में डालकर पीड़ितों की देखभाल की है।","आञ नेताः एन डॉक्टर को, नर्स को, स्वास्थ्यकर्मि को, स्वास्थ्य सेवा को ते जुड़ाव कन प्रशासक को ओड़ोः सफाई कर्मि कोअः उदुबः सनङ तनञ आको अपनअः जीउ सोंकोट रे ओम केअते पीड़ित कोके नेल जाअःको तइकेना।"
Gaya Munda said that Mor Sahi would have to be killed by cutting and firing like Sibil.,गया मुुण्डा बोला कि मोर साही सिबिल जैसे काट कर फायरिंग करके मर डालना होगा।,गया मुण्डा कजि केदा चि मरा सइल सिलिब लेका बु मअ तुइन गोए कोअ।
"Yet, they tried to deal with the question of sharing power differently.",फिर भी सत्ता में साझेदारी के सवाल को उन्होंने अलग-अलग ढंग से निपटाने की कोशिश की।,इमिन रेओ सत्ता रे साझेदारी रेअः कुनुलि इनकु बिनगा-बिनगा रोकोम ते निपटव रेअः कोशिश जदा।
Note that the tropics lie between the Tropic of Cancer and the Tropic of Capricorn.,ध्यान दे कि उष्णकटिबंधीय प्रदेश कर्क रेख और मकर रेखा के मध्य स्थित हैं।,देयान बु ओमे चि उष्णकटिबंधीय दिसुम कर्क रेखा ओड़ोः मकर रेखा रेआ ताला रे मेनाः।
"During Rakshasa Dahan, the victory flag is hoisted by lighting the effigy of Ravana and fireworks are set off.",राक्षस दहन के समय रावण की झाँकी जलाकर विजय पताका लहराई जाती है और आतिशबाजी की जाती है।,रागोसा ओन्डोर गिड़ि सोमय रावण तकिनाः झांकी ओन्डोर केयाते दड़ीजन  रअः झण्डा ओटङ ओ तना ओड़ोः आतिशबाजीओ तना।
The world has witnessed the IT revolution for the last 30 years.,पिछले 30 वर्षों से दुनिया में आईटी क्रांति देखी गई है।,सेनोः जन 30 सिरमाआते गोटा दिसुम रे आई टी क्रांति लेल जाना।
It is through vision that you can see the words and sentences printed on this page.,दृष्टि द्वारा ही आप इस पृष्ठ पर छपे शब्दों तथा वाक्यों को देख पाते हैं।,दृष्टि द्वारा तेगे अपे ने पृष्ठ रे छपवकन टुङ को ओड़ोः बनि सोनोतोः (वाक्य) केबु नेल दड़िआ।
"One of the poets and scholars of the present time, Shri Bhaiya Ram Munda, has written the stories of Danda Tamakan Hodo.",वर्त्तमान के कवियो विद्वानो में से एक नाम श्री भइया राम मुण्डा ने दांड़ा तमाकन होड़ो कहानियो को लिखे है।,हालियान ओनेल हरिआ अकिलान होड़ो कोआ लुतुम ओड़ोः पुथि को - भइराम मुण्डा - दांड़ा जमाकन होड़ो कानि को
Some consulting firms may also share your information with third parties.,कुछ यंत्रमानव सलाहकार आपकी जानकारी किसी तीसरे पक्षों को भी दे सकते हैं।,तरा लेका यंत्रमानव उनुदुब को अमअः इनितु जांन अपिया पक्ष को ओम दाड़िआको।
I can say that the International Yoga Day on 21st June influenced my life.,मैं कह सकता हूँ कि 21 जून को अंतर्राष्ट्रीय योग दिवस ने मेरे जीवन को प्रभावित किया।,अइञ कजि दड़िआ चि 21 जून रे अन्तर्राष्ट्रीय योग दिवस अइञा जीदन के प्रभावित केदा।
